participant_id;age;int_partner_join;auc;video_quality_mean;video_quality_sd;n
27;8;2;0,839278858161025;0,715209531192130;0,0355418123444738;1728
28;4;0;0,747619701239294;0,619050344342291;0,0411771490727169;1414
28;4;1;0,647687247472391;0,631617703069926;0,0362530122337561;1759
29;8;0;0,691833805421163;0,563215083155300;0,0508521184626478;1217
29;8;1;0,603241796943177;0,548879960642093;0,0335396964656926;841
29;8;2;0,773280099671537;0,531526807585335;0,0298999120433141;791
30;4;2;0,685938184046931;0,615639775501114;0,0300247502399411;1796
30;8;0;0,852833149541602;0,597266629763961;0,0407156199208458;1737
31;4;0;0,812574721457819;0,666988127850163;0,0226566826891596;1842
31;4;1;0,758029712342444;0,658136225876461;0,0254964031764715;1797
31;8;0;0,864074182353535;0,591986176956522;0,0572254668450332;1380
31;8;2;0,805802342948287;0,573283225579937;0,0540433595298850;1595
32;8;1;0,806656918302389;0,631192496380619;0,0444074550774328;1713
32;8;2;0,807381524072702;0,619770092051140;0,0470134790102372;1799
33;4;0;0,554595970234378;0,612683644394213;0,0272608420596713;1106
33;4;1;0,651378043660485;0,615443317161017;0,0481583258758946;1416
33;8;0;0,657563332289264;0,559756632692308;0,0344778364379250;624
33;8;1;0,635747611574521;0,597532881877445;0,0531777889341411;1534
34;4;1;0,549469326000804;0,649204131364903;0,0243034572386529;1795
34;8;0;0,737081949891715;0,629306539516129;0,0335962203977145;868
35;4;0;0,956393114333272;0,576164141826135;0,0144172018794663;1829
35;4;1;0,862064686852152;0,623358873115981;0,0245631467245840;1871
35;4;2;0,898304422722627;0,613510730808081;0,0260860782793334;1782
35;8;0;0,812207981655327;0,583253580306346;0,0516275510716828;1371
35;8;1;0,772272431254907;0,611251933689503;0,0488536374588273;1591
35;8;2;0,645747397157225;0,608381384951456;0,0355533718580922;1648
36;4;0;0,833303801177824;0,622932710998878;0,0264627652980239;1782
36;4;1;0,813017736124003;0,600684729821261;0,0212108801714859;2126
36;8;0;0,807400937257396;0,642089317226891;0,0614710303289178;1666
36;8;2;0,856898683769282;0,636794188405797;0,0615151202659451;1380
37;4;0;0,874834775283429;0,625061117212660;0,0240229095479950;1801
37;8;1;0,819559623696923;0,598197729230769;0,0744414195481693;455
37;8;2;0,835002342233822;0,601475377684887;0,0430037291021300;1555
38;4;1;0,707283950011209;0,578230079239590;0,0392346073087036;1657
38;4;2;0,463809287777681;0,568899066219239;0,0328722614636597;1341
38;8;0;0,778098431794059;0,574242766370370;0,0517598569372534;675
38;8;1;0,835077824243147;0,552627853511948;0,0422450881285575;1381
39;4;0;0,710580576324172;0,603343648023256;0,0364786719033618;1720
39;4;1;0,623947760578216;0,637263604963748;0,0393391530235178;1793
39;8;1;0,766674359352921;0,540667600000000;0,0503858051060606;1129
40;4;0;0,784479275573785;0,644040159739555;0,0565300309526710;1843
40;4;1;0,701379790449417;0,623842229196643;0,0460340399270116;1668
40;4;2;0,836716924974940;0,629669301842546;0,0385269323542734;1791
40;8;1;0,864404857337157;0,616553590306122;0,0335988250739511;1568
40;8;2;0,824819097681415;0,620639160561915;0,0195001205236894;961
41;4;0;0,766495357522185;0,677436633897380;0,0320587279702948;1832
41;8;0;0,802885406956431;0,635981443489755;0,0459246348366839;1513
41;8;1;0,798000438307374;0,614314500655201;0,0631804677722750;1221
41;8;2;0,883983054718188;0,608706630037547;0,0583557854432409;799
42;8;2;0,704421503753411;0,593803057550535;0,0411574700676233;1682
44;4;0;0,723645270838981;0,626241981504178;0,0441581710668145;1795
44;4;2;0,911845138729934;0,613419458130312;0,0231926506344683;1765
44;8;0;0,940834613415259;0,627953070756302;0,0501638895368508;595
44;8;1;0,756196257465877;0,626181028458498;0,0557834883023037;1265
45;4;0;0,671005390784235;0,630389482525510;0,0283319197053462;1568
45;4;1;0,575536073801468;0,617145918368902;0,0391067812977255;1312
45;4;2;0,864364583895733;0,625917250057405;0,0364156150719995;1742
46;8;1;0,822788640289098;0,637983306823144;0,0240039891127281;1832
46;8;2;0,719430200879189;0,651049085641605;0,0516014194960206;1769
47;4;0;0,815353692907976;0,673877877183320;0,0362257077470193;1271
47;4;1;0,780699287680104;0,686319968596395;0,0406239487691849;1831
47;8;0;0,755874160997215;0,574018387375000;0,0555876537182064;800
48;4;0;0,833603034168688;0,610676218526663;0,0209076924975549;1819
48;4;2;0,821420552255284;0,625183571231364;0,0221892882744038;1811
49;8;0;0,840735512573756;0,588847945917160;0,0527590258112285;1690
51;4;0;0,900885039251208;0,702460180792853;0,0483324873587726;1791
51;4;1;0,747074638656552;0,680781712132753;0,0180059157604993;1838
51;8;1;0,842955022950206;0,592164289403509;0,0389903340459779;1425
51;8;2;0,834853140521590;0,606099632885086;0,0475961582446820;1636
53;4;0;0,873245873632260;0,635707739073569;0,0238650895561132;1835
53;4;2;0,884821463163134;0,635753703926842;0,0304931714498996;1859
53;8;1;0,827238631790745;0,647330720652174;0,0285860916259329;1564
54;8;2;0,704341464164104;0,634053699274958;0,0527198829749089;1793
55;4;1;0,840629461124208;0,616133259004584;0,0408628537259522;1527
55;4;2;0,737411539400505;0,618663578307509;0,0425773979711425;1678
55;8;2;0,905442134721648;0,673463471683673;0,0654019216884057;1568
57;8;0;0,834176891615542;0,597641887835926;0,0561816089291886;707
57;8;1;0,896629827097912;0,649511322572614;0,0698869061479993;1205
57;8;2;0,719495263494652;0,659406279545454;0,0451992875342963;1364
58;4;0;0,887910720226533;0,652347979352004;0,0400561485527961;1821
58;4;1;0,868249935155202;0,624396356641432;0,0466046887548052;1453
60;4;0;0,859895522787957;0,672128700221117;0,0358936826710786;1809
60;4;1;0,836134054545807;0,701803776229961;0,0418394349077914;1809
60;4;2;0,830030240877383;0,689996347778387;0,0285007277974972;1823
60;8;0;0,826726289221524;0,643602457983193;0,0488628861181483;833
60;8;1;0,868698438539708;0,640005949650838;0,0504383494654861;1432
60;8;2;0,855975145624506;0,662685453529412;0,0515183889268325;1700
61;4;1;0,778223474710085;0,616334131786543;0,0467563839955603;1724
61;8;0;0,850761951440205;0,591797622563418;0,0675211524749783;749
61;8;1;0,906557967648243;0,602382978303748;0,0529292531025912;1521
63;4;2;0,804154295401319;0,622171129405163;0,0172757358843789;1782
63;8;2;0,768843453760809;0,624763980263158;0,0524614005281167;1520
66;4;0;0,825639450414774;0,592222727686473;0,0324436760525561;1582
66;4;1;0,497261647757721;0,600821563710334;0,0354932236288055;1229
66;8;1;0,792883041771931;0,552565772580645;0,0373229607660779;868
