participant_id;auc_8_Mother;auc_8_Unfamiliar Adult;auc_4_Unfamiliar Adult;auc_4_Father;auc_4_Mother;auc_8_Father;video_quality_mean_8_Mother;video_quality_mean_8_Unfamiliar Adult;video_quality_mean_4_Unfamiliar Adult;video_quality_mean_4_Father;video_quality_mean_4_Mother;video_quality_mean_8_Father;video_quality_sd_8_Mother;video_quality_sd_8_Unfamiliar Adult;video_quality_sd_4_Unfamiliar Adult;video_quality_sd_4_Father;video_quality_sd_4_Mother;video_quality_sd_8_Father;n_8_Mother;n_8_Unfamiliar Adult;n_4_Unfamiliar Adult;n_4_Father;n_4_Mother;n_8_Father
45;0,3587435984977808;NA;0,693620779052434;0,4576819083097999;0,354628164556962;NA;0,670324506540880;NA;0,625917250057405;0,630389482525510;0,617145918368902;NA;0,0569870789666249;NA;0,0364156150719995;0,0283319197053462;0,0391067812977255;NA;795;NA;1742;1568;1312;NA
46;0,5580911094057829;0,1822626146053728;NA;NA;NA;NA;0,637983306823144;0,651049085641605;NA;NA;NA;NA;0,0240039891127281;0,0516014194960206;NA;NA;NA;NA;1832;1769;NA;NA;NA;NA
47;NA;NA;NA;0,4679410707869206;0,792483448707166;0,467600849256900;NA;NA;NA;0,673877877183320;0,686319968596395;0,574018387375000;NA;NA;NA;0,0362257077470193;0,0406239487691849;0,0555876537182064;NA;NA;NA;1271;1831;800
48;NA;NA;0,134303599374022;0,5946250984901723;NA;NA;NA;NA;0,625183571231364;0,610676218526663;NA;NA;NA;NA;0,0221892882744038;0,0209076924975549;NA;NA;NA;NA;1811;1819;NA;NA
49;NA;NA;NA;NA;NA;0,714238752700291;NA;NA;NA;NA;NA;0,588847945917160;NA;NA;NA;NA;NA;0,0527590258112285;NA;NA;NA;NA;NA;1690
51;0,5406567474602032;0,4028823908673721;NA;0,7224032375220505;0,521015775298192;0,268135904499541;0,592164289403509;0,606099632885086;NA;0,702460180792853;0,680781712132753;0,609765400000000;0,0389903340459779;0,0475961582446820;NA;0,0483324873587726;0,0180059157604993;0,0537858295305719;1425;1636;NA;1791;1838;110
53;0,7208946916596700;NA;0,638283582089552;0,9060927892677474;0,382680693551529;NA;0,647330720652174;NA;0,635753703926842;0,635707739073569;0,629379159666128;NA;0,0285860916259329;NA;0,0304931714498996;0,0238650895561132;0,0226323423816317;NA;1564;NA;1859;1835;1857;NA
54;NA;0,7808597006270160;NA;NA;NA;NA;NA;0,634053699274958;NA;NA;NA;NA;NA;0,0527198829749089;NA;NA;NA;NA;NA;1793;NA;NA;NA;NA
55;NA;0,3431301323118244;0,158548289167009;NA;0,686275452942120;NA;NA;0,673463471683673;0,618663578307509;NA;0,616133259004584;NA;NA;0,0654019216884057;0,0425773979711425;NA;0,0408628537259522;NA;NA;1568;1678;NA;1527;NA
57;0,8214557636668189;0,1740986019131714;NA;0,5042796005706134;0,869975970242602;0,712982832618026;0,649511322572614;0,659406279545454;NA;0,613434634317130;0,641244993300384;0,597641887835926;0,0698869061479993;0,0451992875342963;NA;0,0315190316342032;0,0236173112608925;0,0561816089291886;1205;1364;NA;1728;1821;707
58;NA;NA;NA;0,9539437396580254;0,789916963226572;NA;NA;NA;NA;0,652347979352004;0,624396356641432;NA;NA;NA;NA;0,0400561485527961;0,0466046887548052;NA;NA;NA;NA;1821;1453;NA
60;0,9083372622976583;0,5895667095667095;0,848387993329628;0,6132951132951133;0,791052020681650;0,837252633419881;0,640005949650838;0,662685453529412;0,689996347778387;0,672128700221117;0,701803776229961;0,643602457983193;0,0504383494654861;0,0515183889268325;0,0285007277974972;0,0358936826710786;0,0418394349077914;0,0488628861181483;1432;1700;1823;1809;1809;833
61;0,0486637909663345;0,3133757766200268;NA;NA;0,748595845906478;0,409945130315501;0,602382978303748;0,564088641737649;NA;NA;0,616334131786543;0,591797622563418;0,0529292531025912;0,0327584895145362;NA;NA;0,0467563839955603;0,0675211524749783;1521;1761;NA;NA;1724;749
63;NA;0,5825101079571506;0,915227115460656;NA;NA;NA;NA;0,624763980263158;0,622171129405163;NA;NA;NA;NA;0,0524614005281167;0,0172757358843789;NA;NA;NA;NA;1520;1782;NA;NA;NA
66;0,1246950922041175;NA;NA;0,1986092839691787;0,490427927927928;NA;0,552565772580645;NA;NA;0,592222727686473;0,600821563710334;NA;0,0373229607660779;NA;NA;0,0324436760525561;0,0354932236288055;NA;868;NA;NA;1582;1229;NA
