participant_id;age;int_partner_join;auc;video_quality_mean;video_quality_sd;n;int_partner_mother;int_partner_father
60;0;0;0,6132951132951133;0,672128700221117;0,0358936826710786;1809;0;1
60;0;1;0,7910520206816503;0,701803776229961;0,0418394349077914;1809;1;0
60;0;2;0,8483879933296276;0,689996347778387;0,0285007277974972;1823;0;0
60;1;0;0,8372526334198808;0,643602457983193;0,0488628861181483;833;0;1
60;1;1;0,9083372622976583;0,640005949650838;0,0504383494654861;1432;1;0
60;1;2;0,5895667095667095;0,662685453529412;0,0515183889268325;1700;0;0
61;0;1;0,7485958459064779;0,616334131786543;0,0467563839955603;1724;1;0
61;1;0;0,4099451303155007;0,591797622563418;0,0675211524749783;749;0;1
61;1;1;0,0486637909663345;0,602382978303748;0,0529292531025912;1521;1;0
61;1;2;0,3133757766200268;0,564088641737649;0,0327584895145362;1761;0;0
63;0;2;0,9152271154606564;0,622171129405163;0,0172757358843789;1782;0;0
63;1;2;0,5825101079571506;0,624763980263158;0,0524614005281167;1520;0;0
66;0;0;0,1986092839691787;0,592222727686473;0,0324436760525561;1582;0;1
66;0;1;0,4904279279279279;0,600821563710334;0,0354932236288055;1229;1;0
66;1;1;0,1246950922041175;0,552565772580645;0,0373229607660779;868;1;0
