participant_id;auc_8_Mother;auc_8_Unfamiliar Adult;auc_4_Father;auc_4_Unfamiliar Adult;auc_4_Mother;auc_8_Father;video_quality_mean_8_Mother;video_quality_mean_8_Unfamiliar Adult;video_quality_mean_4_Father;video_quality_mean_4_Unfamiliar Adult;video_quality_mean_4_Mother;video_quality_mean_8_Father;video_quality_sd_8_Mother;video_quality_sd_8_Unfamiliar Adult;video_quality_sd_4_Father;video_quality_sd_4_Unfamiliar Adult;video_quality_sd_4_Mother;video_quality_sd_8_Father;n_8_Mother;n_8_Unfamiliar Adult;n_4_Father;n_4_Unfamiliar Adult;n_4_Mother;n_8_Father
32;0,902512892693233;0,865310853530032;NA;NA;NA;0,900643949632833;0,631192496380619;0,619770092051140;NA;NA;NA;0,646895200000000;0,0444074550774328;0,0470134790102372;NA;NA;NA;0,0290525048975227;1713;1799;NA;NA;NA;1796
33;0,416140265630062;NA;0,919274789830852;0,844623039181812;0,776872653344931;0,839071195547879;0,597532881877445;NA;0,612683644394213;0,627657685316309;0,615443317161017;0,559756632692308;0,0531777889341411;NA;0,0272608420596713;0,0349014844635104;0,0481583258758946;0,0344778364379250;1534;NA;1106;1723;1416;624
34;NA;0,762584757535470;0,693641304347826;NA;0,450718685831622;0,934227941176471;NA;0,661731879525222;0,649474560089435;NA;0,649204131364903;0,629306539516129;NA;0,0513434345098786;0,0442510755313392;NA;0,0243034572386529;0,0335962203977145;NA;1348;1789;NA;1795;868
35;0,652797697633996;0,547004528039011;0,762141142965257;0,960784916802510;0,920252579701217;0,767233307228711;0,611251933689503;0,608381384951456;0,576164141826135;0,613510730808081;0,623358873115981;0,583253580306346;0,0488536374588273;0,0355533718580922;0,0144172018794663;0,0260860782793334;0,0245631467245840;0,0516275510716828;1591;1648;1829;1782;1871;1371
36;0,927693130179096;0,613826916416532;0,783882597877418;0,868143374949658;0,790933599363428;0,799624005115996;0,608963151567712;0,636794188405797;0,622932710998878;0,624740937614679;0,600684729821261;0,642089317226891;0,0370696999852771;0,0615151202659451;0,0264627652980239;0,0117233990556608;0,0212108801714859;0,0614710303289178;1499;1380;1782;1962;2126;1666
37;0,695866666666667;0,883825530212085;0,908973644458679;0,866712253654929;0,915282429280545;0,906382269771798;0,598197729230769;0,601475377684887;0,625061117212660;0,630842428785358;0,626243397706172;0,643078706697674;0,0744414195481693;0,0430037291021300;0,0240229095479950;0,0262727879687982;0,0198969633679737;0,0737735197172983;455;1555;1801;1803;1831;1075
38;0,749976270051806;0,858999495505412;0,827557223429236;0,152485180118559;0,582739818482141;0,811910408432148;0,552627853511948;0,561729241652893;0,609827762034464;0,568899066219239;0,578230079239590;0,574242766370370;0,0422450881285575;0,0295244520203884;0,0273996427213112;0,0328722614636597;0,0392346073087036;0,0517598569372534;1381;1210;1799;1341;1657;675
39;0,907000259268862;0,993674662847595;0,362187168075562;NA;0,507664884135472;0,917603721330429;0,540667600000000;0,535007699761905;0,603343648023256;NA;0,637263604963748;0,589172152375566;0,0503858051060606;0,0360268605371674;0,0364786719033618;NA;0,0393391530235178;0,0475136020972280;1129;420;1720;NA;1793;884
40;0,924776220159035;0,948512369329738;0,744541055367464;0,863635144198524;0,912093689106317;0,639442299442299;0,616553590306122;0,620639160561915;0,644040159739555;0,629669301842546;0,623842229196643;0,631338573256484;0,0335988250739511;0,0195001205236894;0,0565300309526710;0,0385269323542734;0,0460340399270116;0,0290798036139560;1568;961;1843;1791;1668;1735
41;0,729364383767885;0,797496343164268;0,898995318983668;0,514921567248171;0,867811146569410;0,868180568418615;0,614314500655201;0,608706630037547;0,677436633897380;0,618166956273764;0,662685330204962;0,635981443489755;0,0631804677722750;0,0583557854432409;0,0320587279702948;0,0111931060948676;0,0316826256147097;0,0459246348366839;1221;799;1832;1841;1854;1513
